<<<<<<< HEAD
bert/encoder/layer_4/intermediate/dense/kernel/adam_v/read 29292 29300
bert/encoder/layer_4/intermediate/dense/bias/adam_m/read 29303 29310
bert/encoder/layer_4/intermediate/dense/bias/adam_v/read 29314 29324
bert/encoder/layer_4/output/dense/kernel/adam_m/read 29327 29335
bert/encoder/layer_4/output/dense/kernel/adam_v/read 29338 29349
bert/encoder/layer_4/output/dense/bias/adam_m/read 29352 29360
bert/encoder/layer_4/output/dense/bias/adam_v/read 29363 29371
bert/encoder/layer_0/attention/self/key/bias/adam_m/read 29377 29385
bert/encoder/layer_4/output/LayerNorm/beta/adam_m/read 29388 29395
bert/encoder/layer_4/output/LayerNorm/beta/adam_v/read 29398 29409
bert/encoder/layer_4/output/LayerNorm/gamma/adam_m/read 29412 29419
bert/encoder/layer_4/output/LayerNorm/gamma/adam_v/read 29422 29429
bert/encoder/layer_5/attention/self/query/kernel/adam_m/read 29435 29443
bert/encoder/layer_5/attention/self/query/kernel/adam_v/read 29446 29469
bert/encoder/layer_5/attention/self/query/bias/adam_m/read 29487 29496
bert/encoder/layer_0/attention/self/key/bias/adam_v/read 29499 29507
bert/encoder/layer_5/attention/self/query/bias/adam_v/read 29510 29517
bert/encoder/layer_5/attention/self/key/kernel/adam_m/read 29520 29527
bert/encoder/layer_5/attention/self/key/kernel/adam_v/read 29530 29537
bert/encoder/layer_5/attention/self/key/bias/adam_m/read 29544 29552
bert/encoder/layer_5/attention/self/key/bias/adam_v/read 29555 29563
bert/encoder/layer_5/attention/self/value/kernel/adam_m/read 29566 29578
bert/encoder/layer_5/attention/self/value/kernel/adam_v/read 29581 29589
bert/encoder/layer_5/attention/self/value/bias/adam_m/read 29592 29600
bert/encoder/layer_5/attention/self/value/bias/adam_v/read 29606 29614
bert/encoder/layer_5/attention/output/dense/kernel/adam_m/read 29617 29624
bert/encoder/layer_5/attention/output/dense/kernel/adam_v/read 29627 29638
bert/encoder/layer_5/attention/output/dense/bias/adam_m/read 29641 29649
bert/encoder/layer_5/attention/output/dense/bias/adam_v/read 29652 29663
bert/encoder/layer_0/attention/self/value/kernel/adam_m/read 29666 29674
bert/encoder/layer_5/attention/output/LayerNorm/beta/adam_m/read 29677 29684
bert/encoder/layer_5/attention/output/LayerNorm/beta/adam_v/read 29690 29698
bert/encoder/layer_5/attention/output/LayerNorm/gamma/adam_m/read 29701 29708
bert/encoder/layer_5/attention/output/LayerNorm/gamma/adam_v/read 29711 29722
bert/encoder/layer_5/intermediate/dense/kernel/adam_m/read 29725 29733
bert/encoder/layer_5/intermediate/dense/kernel/adam_v/read 29736 29747
bert/encoder/layer_5/intermediate/dense/bias/adam_m/read 29750 29758
bert/encoder/layer_0/attention/self/value/kernel/adam_v/read 29761 29792
bert/encoder/layer_5/intermediate/dense/bias/adam_v/read 29796 29808
bert/encoder/layer_5/output/dense/kernel/adam_m/read 29811 29819
bert/encoder/layer_5/output/dense/kernel/adam_v/read 29822 29833
bert/encoder/layer_5/output/dense/bias/adam_m/read 29836 29843
bert/encoder/layer_5/output/dense/bias/adam_v/read 29846 29853
bert/encoder/layer_5/output/LayerNorm/beta/adam_m/read 29859 29867
bert/encoder/layer_5/output/LayerNorm/beta/adam_v/read 29882 29889
bert/encoder/layer_5/output/LayerNorm/gamma/adam_m/read 29893 29905
bert/encoder/layer_5/output/LayerNorm/gamma/adam_v/read 29908 29917
bert/encoder/layer_6/attention/self/query/kernel/adam_m/read 29922 29931
bert/encoder/layer_6/attention/self/query/kernel/adam_v/read 29938 29947
bert/encoder/layer_6/attention/self/query/bias/adam_m/read 29950 29958
bert/encoder/layer_6/attention/self/query/bias/adam_v/read 29960 29972
bert/encoder/layer_0/attention/self/value/bias/adam_m/read 29975 29983
bert/encoder/layer_6/attention/self/key/kernel/adam_m/read 29986 29999
bert/encoder/layer_6/attention/self/key/kernel/adam_v/read 30003 30010
bert/encoder/layer_6/attention/self/key/bias/adam_m/read 30013 30021
bert/encoder/layer_6/attention/self/key/bias/adam_v/read 30028 30037
bert/encoder/layer_6/attention/self/value/kernel/adam_m/read 30040 30048
bert/encoder/layer_6/attention/self/value/kernel/adam_v/read 30051 30063
bert/encoder/layer_6/attention/self/value/bias/adam_m/read 30066 30075
bert/encoder/layer_0/attention/self/value/bias/adam_v/read 30078 30085
bert/encoder/layer_6/attention/self/value/bias/adam_v/read 30092 30100
bert/encoder/layer_6/attention/output/dense/kernel/adam_m/read 30103 30111
bert/encoder/layer_6/attention/output/dense/kernel/adam_v/read 30114 30126
bert/encoder/layer_6/attention/output/dense/bias/adam_m/read 30129 30137
bert/encoder/layer_6/attention/output/dense/bias/adam_v/read 30140 30152
bert/encoder/layer_6/attention/output/LayerNorm/beta/adam_m/read 30155 30163
bert/encoder/layer_6/attention/output/LayerNorm/beta/adam_v/read 30166 30174
bert/encoder/layer_6/attention/output/LayerNorm/gamma/adam_m/read 30181 30189
bert/encoder/layer_6/attention/output/LayerNorm/gamma/adam_v/read 30192 30200
bert/encoder/layer_6/intermediate/dense/kernel/adam_m/read 30203 30215
bert/encoder/layer_6/intermediate/dense/kernel/adam_v/read 30218 30227
bert/encoder/layer_6/intermediate/dense/bias/adam_m/read 30229 30237
bert/encoder/layer_6/intermediate/dense/bias/adam_v/read 30247 30255
bert/encoder/layer_0/attention/output/dense/kernel/adam_m/read 30258 30266
bert/encoder/layer_6/output/dense/kernel/adam_m/read 30269 30282
bert/encoder/layer_6/output/dense/kernel/adam_v/read 30285 30293
bert/encoder/layer_6/output/dense/bias/adam_m/read 30296 30308
bert/encoder/layer_6/output/dense/bias/adam_v/read 30311 30319
bert/encoder/layer_6/output/LayerNorm/beta/adam_m/read 30322 30329
bert/encoder/layer_6/output/LayerNorm/beta/adam_v/read 30333 30344
bert/encoder/layer_6/output/LayerNorm/gamma/adam_m/read 30347 30355
bert/encoder/layer_0/attention/output/dense/kernel/adam_v/read 30358 30370
bert/encoder/layer_6/output/LayerNorm/gamma/adam_v/read 30373 30381
bert/encoder/layer_7/attention/self/query/kernel/adam_m/read 30384 30392
bert/encoder/layer_7/attention/self/query/kernel/adam_v/read 30400 30408
bert/encoder/layer_7/attention/self/query/bias/adam_m/read 30411 30419
bert/encoder/layer_7/attention/self/query/bias/adam_v/read 30422 30434
bert/encoder/layer_7/attention/self/key/kernel/adam_m/read 30438 30446
bert/encoder/layer_7/attention/self/key/kernel/adam_v/read 30450 30461
bert/encoder/layer_7/attention/self/key/bias/adam_m/read 30464 30472
bert/encoder/layer_7/attention/self/key/bias/adam_v/read 30475 30483
bert/encoder/layer_7/attention/self/value/kernel/adam_m/read 30486 30498
bert/encoder/layer_7/attention/self/value/kernel/adam_v/read 30501 30509
bert/encoder/layer_7/attention/self/value/bias/adam_m/read 30512 30524
bert/encoder/layer_7/attention/self/value/bias/adam_v/read 30527 30536
bert/encoder/layer_0/attention/output/dense/bias/adam_m/read 30539 30547
bert/encoder/layer_7/attention/output/dense/kernel/adam_m/read 30554 30562
bert/encoder/layer_7/attention/output/dense/kernel/adam_v/read 30565 30573
bert/encoder/layer_7/attention/output/dense/bias/adam_m/read 30576 30589
bert/encoder/layer_7/attention/output/dense/bias/adam_v/read 30591 30599
bert/encoder/layer_7/attention/output/LayerNorm/beta/adam_m/read 30602 30614
bert/encoder/layer_7/attention/output/LayerNorm/beta/adam_v/read 30617 30625
bert/encoder/layer_7/attention/output/LayerNorm/gamma/adam_m/read 30628 30636
bert/encoder/layer_0/attention/output/dense/bias/adam_v/read 30643 30651
bert/encoder/layer_7/attention/output/LayerNorm/gamma/adam_v/read 30654 30661
bert/encoder/layer_7/intermediate/dense/kernel/adam_m/read 30664 30676
bert/encoder/layer_7/intermediate/dense/kernel/adam_v/read 30679 30688
bert/encoder/layer_7/intermediate/dense/bias/adam_m/read 30691 30698
bert/encoder/layer_7/intermediate/dense/bias/adam_v/read 30705 30712
bert/encoder/layer_7/output/dense/kernel/adam_m/read 30716 30724
bert/encoder/layer_7/output/dense/kernel/adam_v/read 30727 30739
bert/encoder/layer_7/output/dense/bias/adam_m/read 30742 30750
bert/encoder/layer_7/output/dense/bias/adam_v/read 30753 30764
bert/encoder/layer_7/output/LayerNorm/beta/adam_m/read 30767 30775
bert/encoder/layer_7/output/LayerNorm/beta/adam_v/read 30779 30786
bert/encoder/layer_7/output/LayerNorm/gamma/adam_m/read 30789 30801
bert/encoder/layer_7/output/LayerNorm/gamma/adam_v/read 30804 30812
bert/embeddings/token_type_embeddings/adam_m/read 30815 30828
bert/encoder/layer_0/attention/output/LayerNorm/beta/adam_m/read 30832 30840
bert/encoder/layer_8/attention/self/query/kernel/adam_m/read 30843 30851
bert/encoder/layer_8/attention/self/query/kernel/adam_v/read 30857 30865
bert/encoder/layer_8/attention/self/query/bias/adam_m/read 30868 30876
bert/encoder/layer_8/attention/self/query/bias/adam_v/read 30880 30892
bert/encoder/layer_8/attention/self/key/kernel/adam_m/read 30895 30904
bert/encoder/layer_8/attention/self/key/kernel/adam_v/read 30907 30914
bert/encoder/layer_8/attention/self/key/bias/adam_m/read 30921 30929
bert/encoder/layer_0/attention/output/LayerNorm/beta/adam_v/read 30932 30960
bert/encoder/layer_8/attention/self/key/bias/adam_v/read 30964 30976
bert/encoder/layer_8/attention/self/value/kernel/adam_m/read 30980 30988
bert/encoder/layer_8/attention/self/value/kernel/adam_v/read 30991 31003
bert/encoder/layer_8/attention/self/value/bias/adam_m/read 31006 31014
bert/encoder/layer_8/attention/self/value/bias/adam_v/read 31017 31025
bert/encoder/layer_8/attention/output/dense/kernel/adam_m/read 31032 31040
bert/encoder/layer_8/attention/output/dense/kernel/adam_v/read 31043 31051
bert/encoder/layer_8/output/dense/kernel/read 31055 31067
bert/encoder/layer_8/output/dense/bias/read 31071 31079
bert/encoder/layer_8/attention/output/LayerNorm/beta/read 31082 31090
bert/encoder/layer_8/attention/self/query/kernel/read 31097 31107
bert/encoder/layer_8/attention/self/query/bias/read 31110 31118
bert/encoder/layer_8/attention/self/key/kernel/read 31121 31133
bert/encoder/layer_8/attention/self/key/bias/read 31136 31144
bert/encoder/layer_8/attention/self/value/kernel/read 31147 31159
bert/encoder/layer_8/attention/self/value/bias/read 31162 31171
bert/encoder/layer_8/attention/output/dense/kernel/read 31173 31182
bert/encoder/layer_8/attention/output/dense/bias/read 31186 31197
bert/encoder/layer_7/output/LayerNorm/beta/read 31201 31209
bert/encoder/layer_7/intermediate/dense/kernel/read 31212 31226
bert/encoder/layer_7/intermediate/dense/bias/read 31229 31237
bert/encoder/layer_7/output/dense/kernel/read 31240 31248
bert/encoder/layer_7/output/dense/bias/read 31255 31263
bert/encoder/layer_7/attention/output/LayerNorm/beta/read 31266 31274
bert/encoder/layer_7/attention/self/query/kernel/read 31277 31290
bert/encoder/layer_7/attention/self/query/bias/read 31294 31302
bert/encoder/layer_7/attention/self/key/kernel/read 31305 31314
bert/encoder/layer_7/attention/self/key/bias/read 31320 31329
bert/encoder/layer_7/attention/self/value/kernel/read 31332 31340
bert/encoder/layer_7/attention/self/value/bias/read 31343 31355
bert/encoder/layer_7/attention/output/dense/kernel/read 31358 31367
bert/encoder/layer_7/attention/output/dense/bias/read 31371 31378
bert/encoder/layer_6/output/LayerNorm/beta/read 31386 31394
bert/encoder/layer_6/intermediate/dense/kernel/read 31397 31405
bert/encoder/layer_6/intermediate/dense/bias/read 31408 31420
bert/encoder/layer_6/output/dense/kernel/read 31423 31432
bert/encoder/layer_6/output/dense/bias/read 31435 31443
bert/encoder/layer_6/attention/output/LayerNorm/beta/read 31449 31458
bert/encoder/layer_6/attention/self/query/kernel/read 31461 31469
bert/encoder/layer_6/attention/self/query/bias/read 31473 31484
bert/encoder/layer_6/attention/self/key/kernel/read 31487 31495
bert/encoder/layer_6/attention/self/key/bias/read 31498 31510
bert/encoder/layer_6/attention/self/value/kernel/read 31513 31522
bert/encoder/layer_6/attention/self/value/bias/read 31525 31533
bert/encoder/layer_6/attention/output/dense/kernel/read 31535 31548
bert/encoder/layer_6/attention/output/dense/bias/read 31552 31559
bert/encoder/layer_5/output/LayerNorm/beta/read 31562 31576
bert/encoder/layer_5/intermediate/dense/kernel/read 31580 31589
bert/encoder/layer_5/intermediate/dense/bias/read 31592 31600
bert/encoder/layer_5/output/dense/kernel/read 31606 31615
bert/encoder/layer_5/output/dense/bias/read 31618 31626
bert/encoder/layer_5/attention/output/LayerNorm/beta/read 31629 31640
bert/encoder/layer_5/attention/self/query/kernel/read 31643 31652
bert/encoder/layer_5/attention/self/query/bias/read 31655 31663
bert/encoder/layer_5/attention/self/key/kernel/read 31671 31679
bert/encoder/layer_5/attention/self/key/bias/read 31682 31690
bert/encoder/layer_5/attention/self/value/kernel/read 31693 31705
bert/encoder/layer_5/attention/self/value/bias/read 31709 31717
bert/encoder/layer_5/attention/output/dense/kernel/read 31720 31728
bert/encoder/layer_5/attention/output/dense/bias/read 31735 31743
bert/encoder/layer_4/output/LayerNorm/beta/read 31746 31754
bert/encoder/layer_4/intermediate/dense/kernel/read 31757 31770
bert/encoder/layer_4/intermediate/dense/bias/read 31773 31782
bert/encoder/layer_4/output/dense/kernel/read 31785 31796
bert/encoder/layer_4/output/dense/bias/read 31799 31807
bert/encoder/layer_4/attention/output/LayerNorm/beta/read 31810 31818
bert/encoder/layer_4/attention/self/query/kernel/read 31821 31833
bert/encoder/layer_4/attention/self/query/bias/read 31836 31844
bert/encoder/layer_4/attention/self/key/kernel/read 31847 31859
bert/encoder/layer_4/attention/self/key/bias/read 31863 31871
bert/encoder/layer_4/attention/self/value/kernel/read 31874 31882
bert/encoder/layer_4/attention/self/value/bias/read 31888 31897
bert/encoder/layer_4/attention/output/dense/kernel/read 31899 31908
bert/encoder/layer_4/attention/output/dense/bias/read 31911 31923
bert/encoder/layer_3/output/LayerNorm/beta/read 31926 31934
bert/encoder/layer_3/intermediate/dense/kernel/read 31937 31946
bert/encoder/layer_3/intermediate/dense/bias/read 31953 31961
bert/encoder/layer_3/output/dense/kernel/read 31964 31973
bert/encoder/layer_3/output/dense/bias/read 31976 31991
bert/encoder/layer_3/attention/output/LayerNorm/beta/read 31994 32002
bert/encoder/layer_3/attention/self/query/kernel/read 32006 32014
bert/encoder/layer_3/attention/self/query/bias/read 32021 32029
bert/encoder/layer_3/attention/self/key/kernel/read 32032 32041
bert/encoder/layer_3/attention/self/key/bias/read 32044 32055
bert/encoder/layer_3/attention/self/value/kernel/read 32058 32066
bert/encoder/layer_3/attention/self/value/bias/read 32069 32080
bert/encoder/layer_3/attention/output/dense/kernel/read 32083 32092
bert/encoder/layer_3/attention/output/dense/bias/read 32095 32103
bert/encoder/layer_2/output/LayerNorm/beta/read 32105 32118
bert/encoder/layer_2/intermediate/dense/kernel/read 32121 32130
bert/encoder/layer_2/intermediate/dense/bias/read 32133 32144
bert/encoder/layer_2/output/dense/kernel/read 32147 32156
bert/encoder/layer_2/output/dense/bias/read 32159 32167
bert/encoder/layer_2/attention/output/LayerNorm/beta/read 32170 32182
bert/encoder/layer_2/attention/self/query/kernel/read 32184 32193
bert/encoder/layer_2/attention/self/query/bias/read 32196 32208
bert/encoder/layer_2/attention/self/key/kernel/read 32211 32220
bert/encoder/layer_2/attention/self/key/bias/read 32223 32231
bert/encoder/layer_2/attention/self/value/kernel/read 32237 32246
bert/encoder/layer_2/attention/self/value/bias/read 32250 32257
bert/encoder/layer_2/attention/output/dense/kernel/read 32260 32273
bert/encoder/layer_2/attention/output/dense/bias/read 32279 32287
bert/encoder/layer_1/output/LayerNorm/beta/read 32290 32298
bert/encoder/layer_1/intermediate/dense/kernel/read 32304 32313
bert/encoder/layer_1/intermediate/dense/bias/read 32316 32324
bert/encoder/layer_1/output/dense/kernel/read 32326 32338
bert/encoder/layer_1/output/dense/bias/read 32341 32349
bert/encoder/layer_1/attention/output/LayerNorm/beta/read 32353 32361
bert/encoder/layer_1/attention/self/query/kernel/read 32367 32376
bert/encoder/layer_1/attention/self/query/bias/read 32379 32387
bert/encoder/layer_1/attention/self/key/kernel/read 32390 32402
bert/encoder/layer_1/attention/self/key/bias/read 32406 32414
bert/encoder/layer_1/attention/self/value/kernel/read 32417 32429
bert/encoder/layer_1/attention/self/value/bias/read 32432 32440
bert/encoder/layer_1/attention/output/dense/kernel/read 32443 32452
bert/encoder/layer_1/attention/output/dense/bias/read 32455 32466
bert/encoder/layer_0/output/LayerNorm/beta/read 32469 32478
bert/encoder/layer_0/intermediate/dense/kernel/read 32481 32493
bert/encoder/layer_0/intermediate/dense/bias/read 32497 32505
bert/encoder/layer_0/output/dense/kernel/read 32507 32517
bert/encoder/layer_0/output/dense/bias/read 32526 32534
bert/encoder/layer_0/attention/output/LayerNorm/beta/read 32537 32545
bert/encoder/layer_0/attention/self/query/kernel/read 32548 32560
bert/encoder/layer_0/attention/self/query/bias/read 32563 32588
bert/encoder/layer_0/attention/self/key/kernel/read 32591 32601
bert/encoder/layer_0/attention/self/key/bias/read 32608 32616
bert/encoder/Reshape 32619 32634
bert/encoder/layer_11/attention/self/dropout/random_uniform/RandomUniform 32638 32816
bert/encoder/layer_10/attention/self/dropout/random_uniform/RandomUniform 32839 32898
bert/encoder/layer_9/attention/self/dropout/random_uniform/RandomUniform 32906 32951
bert/encoder/layer_8/attention/self/dropout/random_uniform/RandomUniform 32965 33010
bert/encoder/layer_7/attention/self/dropout/random_uniform/RandomUniform 33018 33058
